순위,업소명,주소,분류,현지인 검색 수
50,아리랑하우스[한식],광주 동구 무등로321번길 2-0,한식,328
51,수정식당,광주 동구 천변우로 393-18,한식,321
52,정희,광주 동구 동명로20번길 20-0,한식,307
53,계림동잔치집,광주 동구 무등로306번길 6-1,한식,304
54,동백카츠동명점,광주 동구 동계천로 147-0,전문음식,295
55,신락원학동점 [중식],광주 동구 의재로 71-0,외국식,293
56,광양숯불구이지산점,광주 동구 필문대로 229-0,한식,292
57,카페바리에,광주 동구 서석로7번길 14-0,전문음식,289
58,마한지,광주 동구 문화전당로 37-2,한식,283
59,해안식당동명본점,광주 동구 제봉로98번길 11-19,전문음식,279
60,소맥베이커리,광주 동구 문화전당로26번길 10-2,간이음식,276
61,배스킨라빈스광주계림센트럴점,광주 동구 경양로 237-0,간이음식,275
62,동명서월,광주 동구 장동로 11-0,외국식,270
63,칠우불고기,광주 동구 제봉로 194-0,한식,267
64,900달러,광주 동구 동계천로 103-2,간이음식,265
65,보광옥,광주 동구 충장로46번길 16-0,한식,264
66,힉힉호무리과자점,광주 동구 경양로 377-0,간이음식,260
67,코발트,광주 동구 동계천로 143-42,카페/찻집,258
68,요켈,광주 동구 무등로384번길 25-2,카페/찻집,257
69,나주식당,광주 동구 동계천로53번길 2-0,한식,256
70,팔도강산,광주 동구 지호로127번길 10-7,한식,255
71,무등산민속촌,광주 동구 무등로 590-0,한식,251
72,구수숯불갈비,광주 동구 필문대로191번길 15-10,한식,250
73,부엌간동명점,광주 동구 동계천로 167-1,전문음식,247
74,볼사리노,광주 동구 지호로 179-0,카페/찻집,243
75,프랭크커핀바광주동명점,광주 동구 동명로14번길 15-0,카페/찻집,239
76,관가통오리,광주 동구 의재로96번길 18-0,전문음식,238
77,뜰안채[한식],광주 동구 문화전당로26번길 10-4,한식,236
78,온천할머니집[한식],광주 동구 지호로127번길 29-0,한식,235
79,한식경,광주 동구 동명로25번길 6-1,한식,235
80,금향갈비,광주 동구 중앙로272번길 4-0,한식,232
81,커피스미스광주가로수점,광주 동구 서석로 30-0,카페/찻집,232
82,평화식당,광주 동구 서석로7번길 6-27,한식,228
83,캄파니아,광주 동구 지호로124번길 16-1,카페/찻집,227
84,후토루,광주 동구 제봉로82번길 21-0,간이음식,226
85,대우회관,광주 동구 의재로26번길 3-0,한식,221
86,윤끼,광주 동구 동계천로 151-17,외국식,217
87,카페네이프,광주 동구 화산로303번길 78-0,카페/찻집,213
88,도리깨마당,광주 동구 필문대로191번길 5-21,한식,213
