순위,업소명,주소,분류,현지인 검색 수
1,디오니카페,전북 전주시 덕진구 원동로 16-0,카페/찻집,6276
2,쿠우쿠우전주송천점,전북 전주시 덕진구 사근1길 31-0,전문음식,5762
3,호남각[한식],전북 전주시 덕진구 시천로 65-0,한식,4498
4,스타벅스전주IC DT점,전북 전주시 덕진구 기린대로 1022-0,카페/찻집,4381
5,총체보리한우정육식당전주점,전북 전주시 덕진구 숲거리길 20-12,한식,4077
6,두거리우신탕전주송천점,전북 전주시 덕진구 동부대로 1106-0,한식,3941
7,맥도날드전주송천DT점,전북 전주시 덕진구 송천중앙로 200-0,간이음식,3513
8,스타벅스전주송천DT점,전북 전주시 덕진구 송천중앙로 228-0,카페/찻집,3511
9,그날의온도,전북 전주시 덕진구 원동로 45-0,카페/찻집,3408
10,스타벅스전북대병원DT점,전북 전주시 덕진구 백제대로 616-0,카페/찻집,3282
11,스타벅스전주인후DT점,전북 전주시 덕진구 아중로 135-0,카페/찻집,2998
12,솔가숯불갈비전주본점,전북 전주시 덕진구 아중로 219-0,한식,2958
13,버거킹전주만성SK점,전북 전주시 덕진구 온고을로 441-0,간이음식,2868
14,고궁전주본점 [한식],전북 전주시 덕진구 송천중앙로 33-0,한식,2843
15,두거리우신탕전주혁신도시점,전북 전주시 덕진구 장동길 43-0,한식,2837
16,카페온더힐,전북 전주시 덕진구 초당길 21-8,카페/찻집,2826
17,스타벅스전주호성DT점,전북 전주시 덕진구 동부대로 860-0,카페/찻집,2678
18,스타벅스전주혁신도시점,전북 전주시 덕진구 기지로 68-0,카페/찻집,2565
19,SUBWAY전주송천DT점,전북 전주시 덕진구 동부대로 1004-0,간이음식,2560
20,라보테,전북 전주시 덕진구 중동로 104-16,전문음식,2533
21,포랩스커피컴퍼니,전북 전주시 덕진구 초포로 250-16,카페/찻집,2411
22,상무초밥전주송천점,전북 전주시 덕진구 송천중앙로 217-0,외국식,2381
23,웨이메이커호성점,전북 전주시 덕진구 고당1길 21-9,카페/찻집,2380
24,맥도날드전주덕진DT점,전북 전주시 덕진구 기린대로 503-0,간이음식,2290
25,스타벅스전주덕진광장DT점,전북 전주시 덕진구 기린대로 491-0,카페/찻집,2232
26,호성순대본점,전북 전주시 덕진구 소리로 205-0,한식,2172
27,기찻길옆오막살이,전북 전주시 덕진구 인교9길 71-0,한식,2108
28,만수식당본점,전북 전주시 덕진구 사거리길 49-0,한식,2091
29,벽계가든,전북 전주시 덕진구 백제대로 524-0,한식,2032
30,폴바셋전주금암DT점,전북 전주시 덕진구 기린대로 411-0,카페/찻집,1991
31,리파로,전북 전주시 덕진구 정여립로 924-25,카페/찻집,1988
32,버거킹전주송천DT점,전북 전주시 덕진구 동부대로 1030-0,간이음식,1985
33,투썸플레이스전주에코호수DT점,전북 전주시 덕진구 과학로 147-0,카페/찻집,1975
34,써니네집전주혁신점,전북 전주시 덕진구 중동로 104-14,전문음식,1905
35,엄가네시골집24시얼큰한뼈해장국,전북 전주시 덕진구 기린대로 419-0,한식,1874
