,,,,,,,,,,,,,,,,,,,,
2024432,가우도,자연,자연관광지,3.7,2.8,5.0,4.1,5.3,4.1,7.3,6.8,11.8,12.7,14.8,11.6,6.6,3.6,0,1.0,23.0
1957338,강덕사,인문(문화/예술/역사),역사관광지,11.2,5.4,6.1,4.7,6.3,4.6,8.7,6.7,12.3,9.0,9.7,6.6,4.4,4.3,0,2.0,23.0
298106,강진금곡사,인문(문화/예술/역사),역사관광지,2.3,3.0,4.3,4.8,5.6,7.8,10.7,8.9,9.0,12.1,12.5,12.3,2.9,3.8,0,3.0,23.0
127285,강진백련사,인문(문화/예술/역사),역사관광지,1.2,1.1,2.0,3.4,3.0,5.4,4.5,5.4,11.9,20.8,17.1,16.9,4.2,3.2,0,4.0,23.0
578691,강진천태산,자연,자연관광지,3.5,1.4,4.9,3.2,4.1,4.0,9.9,2.7,16.2,9.7,19.1,6.9,5.2,9.3,0,5.0,23.0
1624144,금강사(강진),인문(문화/예술/역사),역사관광지,3.0,3.2,9.9,4.6,5.3,4.1,9.2,6.8,11.6,8.9,13.4,9.5,6.3,4.3,0,6.0,23.0
1957357,남강서원(강진),인문(문화/예술/역사),역사관광지,4.3,4.2,11.2,5.9,10.5,5.0,10.5,6.6,12.4,8.7,9.4,5.8,2.9,2.9,0,7.0,23.0
126419,다산초당(다산정약용유적지),인문(문화/예술/역사),역사관광지,1.9,1.9,5.2,4.7,6.2,3.6,7.2,7.0,13.8,12.9,13.1,13.1,5.5,3.9,0,8.0,23.0
578656,덕룡산,자연,자연관광지,4.6,2.9,5.1,2.0,5.6,3.4,9.0,5.6,14.5,10.1,16.1,9.4,5.8,6.0,0,9.0,23.0
2752133,마량놀토수산시장,쇼핑,쇼핑,2.4,3.3,5.1,3.8,5.3,3.8,8.4,7.2,15.1,11.8,12.1,11.1,5.6,4.8,0,10.0,23.0
128992,마량미항(마량항),자연,자연관광지,2.4,3.2,5.1,3.8,5.3,3.8,8.5,7.2,15.1,11.8,12.2,11.0,5.6,4.9,0,11.0,23.0
126357,무위사,인문(문화/예술/역사),역사관광지,1.5,1.0,2.2,3.5,3.7,3.5,7.0,5.3,13.6,15.2,13.0,17.2,7.8,5.5,0,12.0,23.0
129694,병영성홍교,인문(문화/예술/역사),역사관광지,3.4,3.4,4.5,3.8,3.8,3.7,7.3,4.5,14.2,10.4,14.0,11.5,8.2,7.1,0,13.0,23.0
578670,보은산,자연,자연관광지,7.7,8.0,7.8,5.8,5.8,5.1,8.3,7.8,10.4,10.2,7.6,7.4,4.0,4.1,0,14.0,23.0
2650800,사의재저잣거리,인문(문화/예술/역사),체험관광지,10.7,9.5,6.6,5.2,5.2,4.9,8.0,7.3,10.0,10.8,7.3,7.7,3.4,3.2,0,15.0,23.0
2515789,오감통,인문(문화/예술/역사),휴양관광지,4.3,3.2,5.6,4.8,5.0,5.0,8.6,7.8,12.3,11.6,9.9,10.7,5.5,5.7,0,16.0,23.0
337552,옥련사(강진),인문(문화/예술/역사),역사관광지,3.0,3.2,9.9,4.6,5.3,4.1,9.2,6.8,11.6,8.9,13.4,9.5,6.3,4.3,0,17.0,23.0
337559,옴천사(강진),인문(문화/예술/역사),역사관광지,2.1,1.4,4.3,2.9,3.8,4.7,8.1,4.4,14.6,11.7,14.9,11.3,7.4,8.3,0,18.0,23.0
226924,월남사지,인문(문화/예술/역사),역사관광지,3.4,4.2,3.1,3.0,5.0,4.2,9.8,7.4,17.0,13.7,13.7,7.9,3.7,3.9,0,19.0,23.0
578684,주작산,자연,자연관광지,4.0,4.1,3.2,2.4,5.3,3.2,12.0,6.8,15.0,11.2,12.8,8.9,4.7,6.5,0,20.0,23.0
643998,주작산자연휴양림,자연,자연관광지,3.3,2.5,2.8,2.2,5.1,3.9,12.0,7.7,16.7,13.5,14.3,8.4,3.1,4.4,0,21.0,23.0
129695,하멜기념관,인문(문화/예술/역사),문화시설,1.4,1.5,4.0,3.9,3.5,3.3,8.0,4.7,14.4,11.3,15.6,10.4,10.4,7.6,0,22.0,23.0
1624517,해남윤씨추원당,인문(문화/예술/역사),역사관광지,2.6,3.0,4.4,2.1,4.1,2.3,13.6,7.6,16.1,11.6,10.8,10.9,5.9,4.9,0,23.0,23.0
