Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2366500,고산골,자연,자연관광지,3.7,3.5,5.2,5.1,6.6,5.9,7.9,6.1,9.0,10.8,11.5,10.9,6.8,7.0,0,1.0,12.0
2478972,공룡공원,인문(문화/예술/역사),체험관광지,1.8,1.2,3.5,3.7,6.1,5.1,7.0,5.7,11.7,12.7,12.8,12.8,8.0,7.8,0,2.0,12.0
1608882,관문시장,쇼핑,쇼핑,2.0,2.1,10.8,10.0,7.3,5.4,6.6,6.6,8.5,10.7,7.9,10.9,4.8,6.3,0,3.0,12.0
999012,대구안지랑시장,쇼핑,쇼핑,2.2,2.1,11.8,12.5,10.0,7.3,7.4,6.7,8.1,9.0,6.9,7.7,3.4,4.8,0,4.0,12.0
126132,대구앞산공원,인문(문화/예술/역사),휴양관광지,1.9,1.9,6.8,5.8,7.8,5.4,8.6,7.1,13.6,10.8,10.6,8.8,5.2,5.7,0,5.0,12.0
2751285,대구충혼탑,인문(문화/예술/역사),역사관광지,1.9,2.6,6.8,7.7,9.1,6.3,8.5,6.6,11.2,13.1,8.3,7.0,3.7,7.2,0,6.0,12.0
2742354,대명시장(대명신시장),쇼핑,쇼핑,2.9,3.0,6.6,8.1,11.1,9.0,7.6,7.1,8.9,9.2,6.8,9.2,3.9,6.5,0,7.0,12.0
2732574,성당시장,쇼핑,쇼핑,4.3,1.8,7.5,5.6,7.4,3.4,6.8,4.5,11.6,12.8,9.7,11.9,3.7,8.9,0,8.0,12.0
2366916,앞산전망대(앞산케이블카),인문(문화/예술/역사),건축/조형물,2.3,2.1,7.4,7.5,8.3,6.3,7.7,7.9,11.4,11.7,8.5,8.6,5.2,5.0,0,9.0,12.0
2611146,앞산카페거리,인문(문화/예술/역사),체험관광지,2.5,2.6,8.6,7.9,8.2,6.6,7.8,7.5,9.5,11.0,7.5,9.1,4.5,6.9,0,10.0,12.0
2703807,앞산해넘이전망대,인문(문화/예술/역사),건축/조형물,1.8,2.1,9.5,9.9,9.1,8.2,9.9,5.9,9.2,10.6,8.5,5.8,4.2,5.4,0,11.0,12.0
2679833,이천동고미술거리,인문(문화/예술/역사),체험관광지,2.4,2.7,8.2,11.0,8.8,7.5,6.9,7.7,7.9,9.8,7.2,8.2,4.7,6.9,0,12.0,12.0
2745686,달서시장,쇼핑,쇼핑,6.0,8.3,6.0,5.9,7.6,7.6,8.8,9.5,8.9,11.0,6.4,7.7,2.9,3.4,0,1.0,17.0
2766932,대곡시장,쇼핑,쇼핑,3.9,3.5,7.4,7.9,10.5,11.2,7.2,7.8,7.4,12.1,5.7,8.0,2.5,4.8,0,2.0,17.0
126131,대구두류공원,인문(문화/예술/역사),휴양관광지,2.6,4.4,8.0,8.2,7.1,5.3,7.2,5.9,10.6,9.4,10.4,8.7,6.8,5.4,0,3.0,17.0
128120,대구수목원,자연,자연관광지,2.1,2.5,4.7,4.9,5.1,6.2,6.0,8.4,8.6,17.1,10.5,14.0,5.0,5.0,0,4.0,17.0
2766943,대동종합시장,쇼핑,쇼핑,3.1,3.0,8.8,6.7,6.9,4.7,6.1,5.9,9.1,13.2,10.8,11.4,4.2,6.2,0,5.0,17.0
1610456,백련사(대구),인문(문화/예술/역사),역사관광지,2.3,2.3,7.8,5.6,7.0,4.9,8.3,5.8,12.6,11.3,10.6,11.3,4.8,5.3,0,6.0,17.0
2745608,서남시장,쇼핑,쇼핑,1.2,1.9,7.4,8.3,7.7,5.9,6.0,8.5,9.2,14.2,8.5,12.9,3.6,5.0,0,7.0,17.0
2766491,수목원생활온천,인문(문화/예술/역사),휴양관광지,5.9,6.1,7.8,5.9,7.5,5.7,8.9,8.5,10.3,12.2,7.6,6.7,3.6,3.4,0,8.0,17.0
2744507,와룡시장,쇼핑,쇼핑,4.4,5.2,12.5,10.5,9.1,7.8,6.0,5.6,8.0,10.7,7.1,6.9,2.9,3.4,0,9.0,17.0
2751497,월곡역사공원,인문(문화/예술/역사),휴양관광지,5.3,5.2,6.2,5.5,5.7,5.0,5.9,7.3,8.8,12.5,10.0,10.9,5.3,6.4,0,10.0,17.0
2674947,월광수변공원,인문(문화/예술/역사),휴양관광지,1.6,1.6,5.4,6.2,5.4,6.7,5.1,7.1,8.3,14.8,9.3,12.2,10.6,5.7,0,11.0,17.0
2744483,월배시장,쇼핑,쇼핑,3.3,2.5,8.7,6.8,8.0,7.1,6.8,8.3,9.0,13.0,7.6,9.8,4.1,5.2,0,12.0,17.0
2744478,이곡장미공원,인문(문화/예술/역사),휴양관광지,2.1,3.2,8.2,8.7,8.7,8.3,7.2,9.8,8.8,16.9,5.6,8.0,2.0,2.5,0,13.0,17.0
128627,이월드,인문(문화/예술/역사),휴양관광지,6.3,7.8,9.7,10.9,8.7,7.9,7.8,6.5,7.8,7.0,6.3,6.0,3.7,3.6,0,14.0,17.0
479548,임휴사,인문(문화/예술/역사),역사관광지,3.6,3.3,5.0,5.5,5.8,4.5,5.7,6.1,9.1,13.0,11.2,12.8,6.3,8.0,0,15.0,17.0
2744445,학산공원,인문(문화/예술/역사),휴양관광지,5.6,3.7,7.8,7.4,10.1,5.1,4.1,5.7,8.5,14.3,8.6,8.0,4.6,6.6,0,16.0,17.0
2744537,호림강나루공원(호림공원),인문(문화/예술/역사),휴양관광지,1.2,0.5,11.0,5.6,14.7,4.9,13.5,4.3,18.0,7.3,11.8,3.8,1.9,1.4,0,17.0,17.0
2034446,가창찐빵골목,인문(문화/예술/역사),체험관광지,3.6,3.4,6.2,3.9,9.5,5.6,10.1,7.9,10.8,10.1,10.3,8.8,4.7,5.2,0,1.0,29.0
2746373,가창호,자연,자연관광지,2.4,1.4,6.1,3.9,7.0,7.3,11.2,7.5,13.6,9.2,12.0,9.4,5.1,4.0,0,2.0,29.0
1956986,국립대구과학관,인문(문화/예술/역사),문화시설,5.9,5.8,13.4,7.4,14.2,7.7,11.9,7.4,9.0,6.9,4.8,3.6,1.1,1.0,0,3.0,29.0
1611891,남평문씨본리세거지,인문(문화/예술/역사),역사관광지,1.1,1.2,3.3,3.1,4.8,4.5,6.3,5.7,14.0,18.2,15.0,13.5,5.5,3.7,0,4.0,29.0
2812255,노사평화의전당,인문(문화/예술/역사),문화시설,2.8,1.7,12.6,6.1,19.6,8.7,12.4,7.2,9.3,7.5,6.5,3.9,1.0,0.9,0,5.0,29.0
1059329,녹동서원(대구),인문(문화/예술/역사),역사관광지,4.0,5.1,6.1,5.6,5.4,5.3,7.9,7.7,11.9,10.9,10.2,8.3,5.4,6.1,0,6.0,29.0
2742203,달성노을공원,인문(문화/예술/역사),휴양관광지,1.7,1.1,5.3,2.8,9.6,4.5,11.5,5.6,17.6,8.5,16.1,7.3,6.0,2.5,0,7.0,29.0
2742212,달성보전망대,인문(문화/예술/역사),건축/조형물,1.7,1.1,5.3,2.8,9.6,4.5,11.5,5.6,17.6,8.5,16.1,7.3,6.0,2.5,0,8.0,29.0
2638472,달성습지생태학습관,인문(문화/예술/역사),문화시설,1.9,1.4,5.7,4.0,9.1,4.6,10.4,6.2,16.2,12.9,12.7,8.2,4.0,2.6,0,9.0,29.0
1611768,달성하목정,인문(문화/예술/역사),역사관광지,0.9,0.5,7.0,2.1,9.5,2.5,12.1,4.5,20.0,10.0,17.4,7.3,3.8,2.4,0,10.0,29.0
1761643,달성한일우호관,인문(문화/예술/역사),문화시설,1.6,2.4,6.1,9.5,8.1,8.7,7.8,7.7,8.8,11.3,9.6,9.5,5.1,3.8,0,11.0,29.0
2742528,달창저수지,자연,자연관광지,0.5,1.1,3.9,2.3,7.8,4.0,8.6,4.5,16.2,12.5,16.7,11.4,4.5,5.9,0,12.0,29.0
1646676,대구달성습지,자연,자연관광지,1.7,1.4,8.3,5.0,9.1,5.0,10.5,5.5,14.9,11.2,12.8,8.0,3.6,3.0,0,13.0,29.0
129679,도동서원(유네스코세계문화유산),인문(문화/예술/역사),역사관광지,2.2,3.8,2.7,3.0,4.7,2.9,12.2,6.0,16.5,10.0,12.4,8.2,7.6,7.9,0,14.0,29.0
1610805,도성암,인문(문화/예술/역사),역사관광지,0.7,0.5,3.7,3.3,8.4,3.3,9.2,5.9,14.0,14.1,13.8,10.3,8.0,4.7,0,15.0,29.0
2760793,동제미술관(동제미술전시관),인문(문화/예술/역사),문화시설,1.1,1.3,5.9,9.0,6.2,6.4,6.1,7.9,11.0,13.4,10.4,10.4,6.5,4.5,0,16.0,29.0
2661074,리조트스파밸리,인문(문화/예술/역사),휴양관광지,3.4,3.6,6.3,4.8,10.2,8.7,10.5,8.1,12.8,9.6,10.1,6.7,2.9,2.5,0,17.0,29.0
231936,묘골마을,인문(문화/예술/역사),역사관광지,1.7,1.8,8.3,2.3,12.9,3.7,15.3,5.7,16.1,9.1,11.4,5.9,3.4,2.4,0,18.0,29.0
127502,비슬산군립공원,자연,자연관광지,2.2,2.3,3.9,3.4,6.5,5.2,9.3,9.0,12.5,14.4,12.1,10.8,4.6,3.8,0,19.0,29.0
125406,비슬산자연휴양림,자연,자연관광지,3.1,3.4,4.0,3.8,6.2,6.2,10.5,10.4,11.9,14.4,10.3,9.2,3.5,2.9,0,20.0,29.0
2606236,옥연지송해공원,인문(문화/예술/역사),휴양관광지,2.2,2.1,4.9,4.1,6.9,5.0,8.7,7.4,14.4,12.1,12.0,10.7,4.9,4.8,0,21.0,29.0
129673,용연사(대구),인문(문화/예술/역사),역사관광지,0.9,1.1,2.2,2.6,3.3,3.7,6.3,9.1,13.9,21.5,14.0,12.7,5.0,3.6,0,22.0,29.0
346895,운흥사(대구),인문(문화/예술/역사),역사관광지,1.5,1.1,10.7,6.0,8.9,5.2,8.3,6.0,12.4,10.1,11.4,8.8,5.9,3.7,0,23.0,29.0
2744454,테크노폴리스중앙공원,인문(문화/예술/역사),휴양관광지,8.7,8.2,12.5,9.0,11.2,9.4,9.4,8.5,5.9,6.8,3.5,4.4,1.0,1.4,0,24.0,29.0
1937626,현풍500년느티나무테마공원,인문(문화/예술/역사),휴양관광지,4.9,4.6,9.9,6.5,11.8,9.0,10.8,8.3,9.5,8.4,6.5,5.5,1.9,2.4,0,25.0,29.0
1761600,현풍곽씨십이정려각,인문(문화/예술/역사),역사관광지,5.8,4.7,7.2,6.1,15.3,11.1,10.0,8.5,8.4,7.6,5.6,5.2,2.2,2.2,0,26.0,29.0
129674,현풍석빙고(상리석빙고),인문(문화/예술/역사),역사관광지,4.8,4.0,12.9,6.7,9.0,8.5,8.4,7.1,10.3,10.3,7.3,5.2,2.4,3.0,0,27.0,29.0
1970821,화원유원지,인문(문화/예술/역사),휴양관광지,1.6,1.2,5.1,3.4,6.9,4.5,8.7,6.0,13.3,13.5,14.1,11.8,5.4,4.5,0,28.0,29.0
487896,화장사(대구),인문(문화/예술/역사),역사관광지,3.2,3.3,8.3,5.9,8.9,5.7,8.8,6.5,12.0,12.3,9.3,9.3,3.2,3.3,0,29.0,29.0
297984,관암사(대구),인문(문화/예술/역사),역사관광지,1.1,0.9,3.6,3.3,4.6,3.7,5.8,8.7,13.4,22.0,12.4,13.5,3.6,3.4,0,1.0,23.0
2667909,나불지생태공원,자연,자연관광지,5.8,6.7,7.0,7.0,10.1,10.1,10.6,9.8,7.6,8.7,5.0,5.9,2.2,3.5,0,2.0,23.0
2745679,노태우대통령생가,인문(문화/예술/역사),역사관광지,1.4,2.5,4.3,4.7,4.4,7.1,6.6,8.1,8.7,17.5,15.2,12.2,3.2,4.3,0,3.0,23.0
1088282,대구도동측백나무숲,자연,자연관광지,4.1,4.1,8.2,3.1,5.4,3.9,7.9,4.9,12.2,11.1,14.2,9.1,7.2,4.7,0,4.0,23.0
